"plot"	"ID"	"sp"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K.conc"	"Mg"	"Mn"	"Na"	"P.conc"	"Zn"	"C"	"N.conc"	"Delta13C"	"Delta15N"	"Cnratio"	"Cpratio"	"Npratio"	"N"	"P"	"K"	"block"	"repl"	"micro"	"tmt"
15	"MG021"	"HEISCO"	0.073072614	0.031480151	9.958677326	0.013272319	0.064631379	7.821161977	4.106019895	0.082159995	0.227382888	1.390899378	0.021179102	49.30807989	2.583740813	-32.69699259	0.297644455	19.08398847	354.5050108	18.57604407	1	1	0	1	2	0	"NP"
15	"MG019"	"TET2PA"	0.06257218	0.040807855	6.199763307	-0.064007495	0.04441798	7.761580729	2.915300824	0.388264103	0.299649984	1.044293965	0.012917181	44.18331243	1.566404032	-34.67239128	2.468159581	28.2068429	423.0926722	14.9996465	1	1	0	1	2	0	"NP"
16	"53719"	"TET2PA"	0.076368096	0.032687535	7.665776821	0.002928059	0.054350421	8.212806139	2.636250374	0.114455011	1.128888205	0.483555005	0.009553549	43.25349397	1.36067222	-34.74552966	1.250235982	31.78832736	894.4896346	28.13893365	0	0	0	0	0	1	"MICRO"
16	"MG041"	"ALSEBL"	0.067110532	0.073663325	12.54204255	0.019848626	0.096211045	25.1763551	4.200295315	0.04081542	0.564706167	1.353208488	0.025484513	43.10535361	4.326154447	-34.28208392	0.815425363	9.963896142	318.5418507	31.96960769	0	0	0	0	0	1	"MICRO"
16	"41271"	"HEISCO"	0.085545209	0.05074385	10.51649597	0.004961421	0.066843541	8.768845383	3.939288471	0.072234698	0.221391443	0.881995158	0.024180046	48.87738225	2.351038319	-34.47646684	-0.171589438	20.78970039	554.1683742	26.6559096	0	0	0	0	0	1	"MICRO"
17	"MG014"	"TET2PA"	0.115258061	0.046973273	6.761555077	0.022476853	0.094546388	5.159582159	3.049851099	0.515699909	1.104060576	1.082965961	0.009813218	43.92349092	1.72904204	-33.89467477	0.943507343	25.40336782	405.5851478	15.96580228	1	1	1	2	2	0	"NPK"
17	"MG015"	"ALSEBL"	0.175613423	0.072090272	18.46833727	0.0244211	0.142097358	26.49979898	5.272484418	0.091880442	0.704117567	2.120770827	0.019150781	41.77949929	4.127934592	-35.83180153	-1.862512742	10.12116311	197.0014806	19.4643124	1	1	1	2	2	0	"NPK"
17	"MG013"	"HEISCO"	0.053217032	0.032415466	8.7500429	0.010427141	0.064383867	11.67113331	3.272692039	0.200094309	0.227438818	1.173464015	0.012165324	49.06654306	2.576062185	-35.06961376	0.077715394	19.04711126	418.1341945	21.95263044	1	1	1	2	2	0	"NPK"
18	"MG012"	"ALSEBL"	0.206095197	0.079950991	11.65110154	0.018169753	0.203584179	20.94504286	4.005097431	0.055737004	0.572514129	1.194297572	0.037700621	43.50677868	3.362872307	-35.32022879	-0.059955429	12.93738647	364.2875922	28.15774214	0	0	1	2	2	0	"K"
18	"37759"	"TET2PA"	0.092894678	0.050315416	5.481179139	0.004841269	0.056897109	7.193691069	2.14549294	0.365156171	0.898547718	0.725378585	0.010790182	43.19695516	1.474653502	-35.16472737	0.475465787	29.29295263	595.5091048	20.32943256	0	0	1	2	2	0	"K"
18	"6761"	"HEISCO"	0.085653355	0.05023457	11.96144138	0.009663573	0.084635637	11.60064942	3.572864691	0.208121756	0.339217199	0.860474257	0.015276032	47.99258371	2.420907072	-35.42135279	-0.241328488	19.82421559	557.7457238	28.13456711	0	0	1	2	2	0	"K"
19	"MG022"	"TET2PA"	0.103340559	0.051532394	5.737391178	0.015783906	0.07737736	9.557739522	2.051145001	0.316200451	1.054997886	0.778577046	0.012846608	43.05149896	1.529422738	-35.34016365	2.649232105	28.14885504	552.9510428	19.64382004	0	0	1	1	3	0	"K"
19	"52217"	"HEISCO"	0.056009979	0.027365024	7.735599551	0.017869586	0.055288014	15.42756296	3.009457109	0.086001808	0.18072932	1.053021265	0.020066504	48.92265534	2.348651735	-34.6643966	1.606298496	20.83010206	464.5932325	22.30393452	0	0	1	1	3	0	"K"
19	"9170"	"ALSEBL"	0.117558638	0.088309012	12.83147526	0.023461969	0.13821057	37.06466735	4.329885201	0.110445747	0.416929356	1.155170426	0.034473795	42.51772541	3.851952066	-32.96138246	2.39512104	11.03796846	368.0645248	33.34531406	0	0	1	1	3	0	"K"
20	"10193"	"HEISCO"	0.041631964	0.038336232	4.63626401	0.013262093	0.047480175	20.19441937	2.759454634	0.163771285	0.11685313	1.490950973	0.018047648	48.24919503	2.265632668	-35.28206033	2.228654886	21.29612435	323.6135587	15.1958898	1	1	1	1	3	0	"NPK"
20	"MG024"	"TET2PA"	0.069379272	0.037891528	7.055574129	0.006390308	0.053473733	5.7359441	3.255292775	0.720729078	0.737937524	0.877783719	0.009291007	43.37466029	1.734822175	-35.40524457	0.771636724	25.00236676	494.1383552	19.76366317	1	1	1	1	3	0	"NPK"
20	"MG023"	"ALSEBL"	0.147035531	0.051280698	8.925858947	0.014040466	0.120285913	29.84852477	3.835721726	0.103457216	0.533977683	2.775397836	0.022673519	43.43056439	4.214557546	-35.05907784	0.10309449	10.30489296	156.4841041	15.18541771	1	1	1	1	3	0	"NPK"
21	"7563"	"TET2PA"	0.130956048	0.053942762	6.068124441	0.024181817	0.055874665	8.316543227	1.594834	0.296624395	1.378394484	0.89734711	0.009368637	43.28467035	1.407885958	-34.9348953	0.803498134	30.74444354	482.3626203	15.68942433	0	1	1	2	3	0	"PK"
21	"8451"	"ALSEBL"	0.13293569	0.067864371	12.91684488	0.008815615	0.138324619	23.16504226	4.561057562	0.04377782	0.834512831	2.580758811	0.026128321	43.43169848	4.02746379	-33.67391662	0.228742369	10.78388304	168.2904202	15.60573492	0	1	1	2	3	0	"PK"
21	"7465"	"HEISCO"	0.069604425	0.055234802	12.34853495	0.014755617	0.067633212	8.975479075	3.927260306	0.171681526	0.214576737	1.918417506	0.031262415	49.58480529	2.281751968	-34.42540587	0.056791039	21.73102335	258.467227	11.89392799	0	1	1	2	3	0	"PK"
22	"6809"	"TET2PA"	0.128255716	0.063031959	5.579561279	-0.034794695	0.115265706	9.803084772	2.626365875	0.321606306	2.063634559	0.843156999	0.014351771	41.69450007	1.513795819	-34.7906434	0.537872269	27.54301441	494.5045834	17.95390207	1	1	0	2	3	0	"NP"
